startDateTime,endDateTime,PM15Median,PM15Minimum,PM15Maximum,PM15NumPts,PM15MAD,PM15finalQF,PM10Median,PM10Minimum,PM10Maximum,PM10NumPts,PM10MAD,PM10finalQF,PM4Median,PM4Minimum,PM4Maximum,PM4NumPts,PM4MAD,PM4finalQF,PM2.5Median,PM2.5Minimum,PM2.5Maximum,PM2.5NumPts,PM2.5MAD,PM2.5finalQF,PM1Median,PM1Minimum,PM1Maximum,PM1NumPts,PM1MAD,PM1finalQF,PM15sub50RHMedian,PM15sub50RHMinimum,PM15sub50RHMaximum,PM15sub50RHNumPts,PM15sub50RHMAD,PM15sub50RHfinalQF,PM10sub50RHMedian,PM10sub50RHMinimum,PM10sub50RHMaximum,PM10sub50RHNumPts,PM10sub50RHMAD,PM10sub50RHfinalQF,PM4sub50RHMedian,PM4sub50RHMinimum,PM4sub50RHMaximum,PM4sub50RHNumPts,PM4sub50RHMAD,PM4sub50RHfinalQF,PM2.5sub50RHMedian,PM2.5sub50RHMinimum,PM2.5sub50RHMaximum,PM2.5sub50RHNumPts,PM2.5sub50RHMAD,PM2.5sub50RHfinalQF,PM1sub50RHMedian,PM1sub50RHMinimum,PM1sub50RHMaximum,PM1sub50RHNumPts,PM1sub50RHMAD,PM1sub50RHfinalQF
"2023-09-01T00:00:00Z","2023-09-01T00:30:00Z",0.002,0.001,0.159,1800.000,0.000,1,0.002,0.001,0.020,1800.000,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.159,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1,0.002,0.001,0.020,1800,0.000,1
"2023-09-01T00:30:00Z","2023-09-01T01:00:00Z",0.003,0.001,0.127,1800.000,0.000,1,0.003,0.001,0.037,1800.000,0.000,1,0.003,0.001,0.035,1800,0.000,1,0.003,0.001,0.035,1800,0.000,1,0.003,0.001,0.035,1800,0.000,1,0.003,0.001,0.127,1800,0.000,1,0.003,0.001,0.037,1800,0.000,1,0.003,0.001,0.035,1800,0.000,1,0.003,0.001,0.035,1800,0.000,1,0.003,0.001,0.035,1800,0.000,1
"2023-09-01T01:00:00Z","2023-09-01T01:30:00Z",0.003,0.001,0.090,1800.000,0.000,1,0.003,0.001,0.037,1800.000,0.000,1,0.003,0.001,0.036,1800,0.000,1,0.003,0.001,0.036,1800,0.000,1,0.003,0.001,0.036,1800,0.000,1,0.003,0.001,0.090,1800,0.000,1,0.003,0.001,0.037,1800,0.000,1,0.003,0.001,0.036,1800,0.000,1,0.003,0.001,0.036,1800,0.000,1,0.003,0.001,0.036,1800,0.000,1
"2023-09-01T01:30:00Z","2023-09-01T02:00:00Z",0.003,0.001,0.101,1800.000,0.000,1,0.003,0.001,0.041,1800.000,0.000,1,0.003,0.001,0.041,1800,0.000,1,0.002,0.001,0.041,1800,0.000,1,0.002,0.001,0.040,1800,0.000,1,0.003,0.001,0.101,1800,0.000,1,0.003,0.001,0.041,1800,0.000,1,0.003,0.001,0.041,1800,0.000,1,0.002,0.001,0.041,1800,0.000,1,0.002,0.001,0.040,1800,0.000,1
"2023-09-01T02:00:00Z","2023-09-01T02:30:00Z",0.007,0.002,0.137,1699.000,0.000,1,0.007,0.002,0.058,1699.000,0.000,1,0.007,0.002,0.054,1699,0.000,1,0.006,0.002,0.054,1699,0.000,1,0.006,0.002,0.054,1699,0.000,1,0.007,0.002,0.137,1699,0.000,1,0.007,0.002,0.058,1699,0.000,1,0.007,0.002,0.054,1699,0.000,1,0.006,0.002,0.054,1699,0.000,1,0.006,0.002,0.054,1699,0.000,1
"2023-09-01T02:30:00Z","2023-09-01T03:00:00Z",0.003,0.001,0.157,1800.000,0.000,1,0.003,0.001,0.029,1800.000,0.000,1,0.002,0.001,0.023,1800,0.000,1,0.002,0.001,0.023,1800,0.000,1,0.002,0.001,0.023,1800,0.000,1,0.003,0.001,0.157,1800,0.000,1,0.003,0.001,0.029,1800,0.000,1,0.002,0.001,0.023,1800,0.000,1,0.002,0.001,0.023,1800,0.000,1,0.002,0.001,0.023,1800,0.000,1
"2023-09-01T03:00:00Z","2023-09-01T03:30:00Z",0.002,0.001,0.118,1800.000,0.000,1,0.002,0.001,0.037,1800.000,0.000,1,0.002,0.001,0.022,1800,0.000,1,0.002,0.001,0.022,1800,0.000,1,0.002,0.001,0.022,1800,0.000,1,0.002,0.001,0.118,1800,0.000,1,0.002,0.001,0.037,1800,0.000,1,0.002,0.001,0.022,1800,0.000,1,0.002,0.001,0.022,1800,0.000,1,0.002,0.001,0.022,1800,0.000,1
"2023-09-01T03:30:00Z","2023-09-01T04:00:00Z",0.002,0.001,0.076,1795.000,0.000,1,0.002,0.001,0.036,1795.000,0.000,1,0.001,0.001,0.036,1795,0.000,1,0.001,0.001,0.036,1795,0.000,1,0.001,0.001,0.036,1795,0.000,1,0.002,0.001,0.076,1795,0.000,1,0.002,0.001,0.036,1795,0.000,1,0.001,0.001,0.036,1795,0.000,1,0.001,0.001,0.036,1795,0.000,1,0.001,0.001,0.036,1795,0.000,1
"2023-09-01T04:00:00Z","2023-09-01T04:30:00Z",0.002,0.001,0.159,1800.000,0.000,1,0.002,0.001,0.048,1800.000,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.159,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1,0.002,0.001,0.048,1800,0.000,1
"2023-09-01T04:30:00Z","2023-09-01T05:00:00Z",0.002,0.001,0.259,1799.000,0.000,1,0.002,0.001,0.027,1799.000,0.000,1,0.002,0.001,0.025,1799,0.000,1,0.001,0.001,0.025,1799,0.000,1,0.001,0.001,0.025,1799,0.000,1,0.002,0.001,0.259,1799,0.000,1,0.002,0.001,0.027,1799,0.000,1,0.002,0.001,0.025,1799,0.000,1,0.001,0.001,0.025,1799,0.000,1,0.001,0.001,0.025,1799,0.000,1
